Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
FH249,2017,8/21/17,Fourhorn,26.4,192.1,NA,3,F,15.4,18.9,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FH251,2017,8/21/17,Fourhorn,14,26,NA,4,M,0.4,0.1,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH257,2017,8/24/17,Fourhorn,11.5,12,NA,4,M,0.6,0.8,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FH258,2017,8/24/17,Fourhorn,7,5,NA,5,F,0.5,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FH26,2017,7/26/17,Fourhorn,16.2,44.6,NA,3,M,1,0.4,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH264,2017,8/24/17,Fourhorn,13,20,NA,3,M,0.7,0.1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FH265,2017,8/24/17,Fourhorn,12,15,NA,2,M,0.5,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FH266,2017,8/25/17,Fourhorn,21.5,79,NA,3,M,1.6,1.9,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FH267,2017,8/25/17,Fourhorn,16.4,31.7,NA,5,Unknown,0.5,0.4,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FH269,2017,8/26/17,Fourhorn,17.4,57.3,NA,5,NA,1.1,0.3,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH27,2017,7/26/17,Fourhorn,27,218.6,NA,2,F,12.3,8.1,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
FH278,2017,8/29/17,Fourhorn,30,400,NA,5,F,27.7,26.7,NA,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FH28,2017,7/26/17,Fourhorn,25.4,175,NA,3,F,9.5,9.6,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
