"Fish_ID","Year","Date","Species","TL_mm","Mass_g","Diet_Mass_g","GutFullness","Sex","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g","prey_Amphipod","prey_Gammarus sp.","prey_Onisimus sp.","prey_Krill","prey_Digested","prey_Copepod","prey_Fish","prey_Mysid","prey_Gammaracanthus sp.","prey_Sea Angel","prey_Algae","prey_Chironomid","prey_Miscellaneous Invert","prey_Undigestible","prey_Miscellaneous"
"SSM058",2018,2018-09-06,"Fourhorn",24.8,184.8,4.402,3,"F",14.9,23.5,0.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM043",2018,2018-08-26,"Slimy",17.9,82.3,0.325,2,"F",4.7,4.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SSM018",2018,2018-08-09,"Fourhorn",25.6,167.6,1.475,2,"F",8.3,9.3,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM004",2018,2018-07-31,"Fourhorn",27.5,150,5.187,3,"F",7.7,6.7,0.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SSM002",2018,2018-07-31,"Fourhorn",26.1,100,3.468,3,"F",6.9,7.1,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM024a",2018,2018-08-09,"Fourhorn",11.8,13.9,1.296,5,"M",0.4,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM013",2018,2018-08-08,"Fourhorn",30,35.1,0.471,3,"F",0.7,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM017",2018,2018-08-08,"Fourhorn",25,100,2.336,3,"F",3.4,4.1,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM033",2018,2018-08-20,"Fourhorn",20.4,65.7,4.391,4,"F",1.9,1.3,0.1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"SSM060",2019,2019-08-12,"Fourhorn",13.32,16.9,0.1,NA,"M",0.1,0.9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"SSM062",2019,2019-08-13,"Fourhorn",14.83,25.5,0.8,NA,"M",0.3,1.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SSM061",2019,2019-08-13,"Fourhorn",14.63,23,0.2,NA,"M",0.3,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSM064",2019,2019-08-15,"Fourhorn",16.6,29.4,0.6,NA,"F",0,0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM067",2019,2019-08-16,"Fourhorn",15.2,26.2,0,NA,"M",0.4,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM065",2019,2019-08-16,"Fourhorn",16.4,29,0.2,NA,"F",0.3,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
