"Fish_ID","Date","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Year","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"SSM045",2018-08-26,"Fourhorn",27.1,224.4,"F",0.664,2,"2018",16.2,21,0.6
"SSM046",2018-08-28,"Fourhorn",27,237.5,"F",15.738,5,"2018",15.7,16.6,1
"SSM047",2018-08-30,"Fourhorn",25.9,163.2,"F",0.857,2,"2018",11.5,16.4,0.3
"SSM048",2018-08-30,"Fourhorn",24.5,126.8,"M",0.965,2,"2018",4.7,4.4,0.2
"SSM051",2018-09-02,"Fourhorn",22,102.5,"F",0,1,"2018",6.9,10.4,0.2
"SSM052",2018-09-02,"Fourhorn",18.8,47.5,"M",0.386,2,"2018",1,2.9,0.1
"SSM053",2018-09-03,"Fourhorn",23.8,133.4,"M",1.811,3,"2018",7.6,7.3,0.2
"SSM054",2018-09-03,"Fourhorn",18.7,57.3,"F",1.257,3,"2018",1.9,1.3,0
"SSM055",2018-09-04,"Fourhorn",28.2,282.2,"F",13.219,4,"2018",18,25.9,0.7
"SSM056",2018-09-04,"Fourhorn",25.8,196.2,"F",2.453,3,"2018",11,14.7,0.4
"SSM057",2018-09-04,"Fourhorn",19,74.6,"F",4.28,5,"2018",4.3,5.7,0.2
"SSM058",2018-09-06,"Fourhorn",24.8,184.8,"F",4.402,3,"2018",14.9,23.5,0.4
"SSM059",2018-09-06,"Fourhorn",24.6,139.9,"F",2.486,3,"2018",8.5,11.5,0.3
"SSM060",2019-08-12,"Fourhorn",13.32,16.9,"M",0.1,NA,"2019",0.1,0.9,0
"SSM061",2019-08-13,"Fourhorn",14.63,23,"M",0.2,NA,"2019",0.3,0.2,0
"SSM062",2019-08-13,"Fourhorn",14.83,25.5,"M",0.8,NA,"2019",0.3,1.4,0
"SSM063",2019-08-15,"Fourhorn",15.34,25.4,"M",0,NA,"2019",0.3,0.3,0
"SSM064",2019-08-15,"Fourhorn",16.6,29.4,"F",0.6,NA,"2019",0,0.5,0
"SSM065",2019-08-16,"Fourhorn",16.4,29,"F",0.2,NA,"2019",0.3,0.6,0
"SSM066",2019-08-16,"Fourhorn",13.24,18.2,"F",1.4,NA,"2019",0.1,0.2,0
"SSM067",2019-08-16,"Fourhorn",15.2,26.2,"M",0,NA,"2019",0.4,1.4,0
"SSM068",2019-08-18,"Fourhorn",13.9,21.8,"F",1.4,NA,"2019",0.3,0.2,0
"SSM069",2019-08-18,"Fourhorn",15.02,27.5,"F",0.8,NA,"2019",0.3,0.3,0
"SSM070",2019-08-18,"Fourhorn",13.42,17,"M",0.4,NA,"2019",0.3,0.5,0
"SSM071",2019-08-18,"Fourhorn",12.59,16.8,"F",1.4,NA,"2019",0.3,0.2,0
"SSM072",2019-08-18,"Fourhorn",14.55,22.4,"F",0.8,NA,"2019",0.2,0.2,0
"SSM073",2019-08-19,"Fourhorn",14.98,27.1,"F",1.2,NA,"2019",0.2,0.3,0
"SSM074",2019-08-20,"Fourhorn",13.6,16.8,"F",0,NA,"2019",0.1,0.2,0
"SSM075",2019-08-21,"Fourhorn",13.04,16.1,"M",0.2,NA,"2019",0.2,0,0
"SSM076",2019-08-21,"Slimy",12.09,23.2,"M",2.3,NA,"2019",0.7,0,0
