"Fish_ID","Year","Date","Content","Category","Count","Mass","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH249",2017,2017-08-21,"onisimus litoralis","Onisimus sp.",7,NA,"Fourhorn",26.4,192.1,"F",NA,3,15.4,18.9,NA
"FH249",2017,2017-08-21,"copepod","Copepod",1,NA,"Fourhorn",26.4,192.1,"F",NA,3,15.4,18.9,NA
"FH251",2017,2017-08-21,"gammarid","Gammarus sp.",3,NA,"Fourhorn",14,26,"M",NA,4,0.4,0.1,NA
"FH251",2017,2017-08-21,"krill","Krill",2,NA,"Fourhorn",14,26,"M",NA,4,0.4,0.1,NA
"FH257",2017,2017-08-24,"gammarid","Gammarus sp.",2,NA,"Fourhorn",11.5,12,"M",NA,4,0.6,0.8,NA
"FH257",2017,2017-08-24,"sand lices","Miscellaneous Invert",3,NA,"Fourhorn",11.5,12,"M",NA,4,0.6,0.8,NA
"FH258",2017,2017-08-24,"fish larvae","Fish",3,NA,"Fourhorn",7,5,"F",NA,5,0.5,NA,NA
"FH258",2017,2017-08-24,"onisimata litoralois","Onisimus sp.",1,NA,"Fourhorn",7,5,"F",NA,5,0.5,NA,NA
"FH26",2017,2017-07-26,"gammarus or onisimus","Amphipod",40,NA,"Fourhorn",16.2,44.6,"M",NA,3,1,0.4,NA
"FH26",2017,2017-07-26,"krill","Krill",5,NA,"Fourhorn",16.2,44.6,"M",NA,3,1,0.4,NA
"FH264",2017,2017-08-24,"copepods","Copepod",10,NA,"Fourhorn",13,20,"M",NA,3,0.7,0.1,NA
"FH265",2017,2017-08-24,"copepods","Copepod",3,NA,"Fourhorn",12,15,"M",NA,2,0.5,NA,NA
"FH266",2017,2017-08-25,"red copepods","Copepod",6,NA,"Fourhorn",21.5,79,"M",NA,3,1.6,1.9,NA
"FH266",2017,2017-08-25,"copepods","Copepod",7,NA,"Fourhorn",21.5,79,"M",NA,3,1.6,1.9,NA
"FH266",2017,2017-08-25,"rock","Undigestible",1,NA,"Fourhorn",21.5,79,"M",NA,3,1.6,1.9,NA
"FH267",2017,2017-08-25,"check the book","Digested",NA,NA,"Fourhorn",16.4,31.7,"Unknown",NA,5,0.5,0.4,NA
"FH269",2017,2017-08-26,"krill","Krill",15,NA,"Fourhorn",17.4,57.3,NA,NA,5,1.1,0.3,NA
"FH27",2017,2017-07-26,"gammarus or onisimus","Amphipod",18,NA,"Fourhorn",27,218.6,"F",NA,2,12.3,8.1,NA
"FH27",2017,2017-07-26,"rock","Undigestible",1,NA,"Fourhorn",27,218.6,"F",NA,2,12.3,8.1,NA
"FH27",2017,2017-07-26,"leaves","Algae",NA,NA,"Fourhorn",27,218.6,"F",NA,2,12.3,8.1,NA
"FH278",2017,2017-08-29,"shrimps","Mysid",24,NA,"Fourhorn",30,400,"F",NA,5,27.7,26.7,NA
"FH278",2017,2017-08-29,"fish fry eyes","Fish",NA,NA,"Fourhorn",30,400,"F",NA,5,27.7,26.7,NA
"FH278",2017,2017-08-29,"krills","Krill",NA,NA,"Fourhorn",30,400,"F",NA,5,27.7,26.7,NA
"FH28",2017,2017-07-26,"gammarus or onisimus","Amphipod",30,NA,"Fourhorn",25.4,175,"F",NA,3,9.5,9.6,NA
