Fish_ID,Year,Date,Content,Category,Count,Mass,Species,TL_mm,Mass_g,Sex,Diet_Mass_g,GutFullness,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g
FH82,2017,8/3/17,gammarus or onisimus,Amphipod,42,NA,Fourhorn,29,277.2,F,NA,3,17.3,23,NA
FH83,2017,8/3/17,amphipod,Amphipod,NA,NA,Fourhorn,26.5,184,F,NA,3,10,12.2,NA
FH84,2017,8/3/17,amphipod,Amphipod,3,NA,Fourhorn,25.5,155.2,M,NA,2,3.5,8.5,NA
FH85,2017,8/3/17,krill,Krill,1,NA,Fourhorn,21,76.9,M,NA,3,2.4,2.7,NA
FH85,2017,8/3/17,amphipod,Amphipod,13,NA,Fourhorn,21,76.9,M,NA,3,2.4,2.7,NA
FH86,2017,8/3/17,amphipod,Amphipod,5,NA,Fourhorn,22,84.8,M,NA,2,2.4,2.4,NA
FH87,2017,8/3/17,krill,Krill,1,NA,Fourhorn,14.5,23,M,NA,2,0.5,0.7,NA
FH87,2017,8/3/17,amphipod,Amphipod,2,NA,Fourhorn,14.5,23,M,NA,2,0.5,0.7,NA
FH88,2017,8/3/17,krill,Krill,1,NA,Fourhorn,14.5,24.6,M,NA,2,0.7,0.3,NA
FH88,2017,8/3/17,gammarus or onisimus,Amphipod,2,NA,Fourhorn,14.5,24.6,M,NA,2,0.7,0.3,NA
FH88,2017,8/3/17,parasites,Undigestible,NA,NA,Fourhorn,14.5,24.6,M,NA,2,0.7,0.3,NA
FH9,2017,7/23/17,too small,Empty,NA,NA,Fourhorn,6.2,14,I,NA,1,NA,NA,NA
FH93,2017,8/5/17,gammarus or onisimus,Amphipod,1,NA,Fourhorn,9.4,5.9,NA,NA,3,0.2,NA,NA
